text,label
Можем поговорить?,smalltalk
Ты на связи?,smalltalk
Рад тебя слышать,smalltalk
Рад что ты есть,smalltalk
Тебе сложно работать?,smalltalk
Ты всегда онлайн?,smalltalk
Алло,smalltalk
Эй,smalltalk
Стучу есть кто?,smalltalk
Хелоу,smalltalk
Ку,smalltalk
Привет бот,smalltalk
Спасибо ты мне очень помог сегодня,smalltalk
Огромное спасибо за подробный ответ,smalltalk
Спасибо это именно то что мне нужно было,smalltalk
Очень полезная информация спасибо,smalltalk
Супер спасибо,smalltalk
До свидания спасибо за помощь,smalltalk
Всего доброго хорошего дня,smalltalk
Пока было приятно,smalltalk
До свидания спасибо,smalltalk
Ладно всё спасибо пока,smalltalk
Привет как делишки,smalltalk
Добрый день чем занимаешься?,smalltalk
Хай ты здесь?,smalltalk
Ха интересно,smalltalk
О интересно,smalltalk
Хм,smalltalk
Ладно попробуем,smalltalk
Ну посмотрим,smalltalk
Ммм,smalltalk
Неплохо неплохо,smalltalk
Ладно хорошо,smalltalk
Понял понял,smalltalk
Какая сегодня погода?,out_of_domain
Будет ли дождь завтра?,out_of_domain
Какой прогноз погоды на неделю?,out_of_domain
Какая температура на улице?,out_of_domain
Когда закончится дождь?,out_of_domain
Будет ли снег на этой неделе?,out_of_domain
Погода в Москве сегодня,out_of_domain
Холодно ли будет?,out_of_domain
Прогноз на выходные,out_of_domain
Сколько градусов сегодня?,out_of_domain
Когда потеплеет?,out_of_domain
Будет ли гроза?,out_of_domain
Погода в Питере,out_of_domain
Когда лето?,out_of_domain
Климат в Сибири,out_of_domain
Много ли снега выпадет?,out_of_domain
Когда наступит весна?,out_of_domain
Почему так холодно?,out_of_domain
Температура воздуха сейчас,out_of_domain
Можно ли идти на прогулку?,out_of_domain
Как одеться по погоде?,out_of_domain
Дождливо ли будет на этой неделе?,out_of_domain
Погода на завтра пожалуйста,out_of_domain
Нужен ли зонтик сегодня?,out_of_domain
Какой сейчас сезон?,out_of_domain
Кто выиграл чемпионат мира по футболу?,out_of_domain
Результаты вчерашнего матча,out_of_domain
Когда следующий чемпионат России?,out_of_domain
Кто лучший футболист?,out_of_domain
Расписание игр ЦСКА,out_of_domain
Как дела у Спартака?,out_of_domain
Олимпийские игры результаты,out_of_domain
Кто чемпион мира по боксу?,out_of_domain
Когда следующий матч Зенита?,out_of_domain
Рекорды по бегу,out_of_domain
Кто выиграл Формулу 1?,out_of_domain
Таблица чемпионата премьер-лиги,out_of_domain
Хоккей чемпионат мира результаты,out_of_domain
Кто такой Месси?,out_of_domain
Про теннис расскажи,out_of_domain
Волейбол женская сборная,out_of_domain
Баскетбол НБА новости,out_of_domain
Кто победил в биатлоне?,out_of_domain
Лучший спортсмен года,out_of_domain
Где пройдут следующие олимпийские игры?,out_of_domain
Сколько медалей у России?,out_of_domain
Рейтинг теннисистов,out_of_domain
Кто такой Роналду?,out_of_domain
Программа олимпийских видов спорта,out_of_domain
Когда Евро по футболу?,out_of_domain
Кто такой Пушкин?,out_of_domain
Столица Франции,out_of_domain
Сколько планет в Солнечной системе?,out_of_domain
Кто открыл Америку?,out_of_domain
Когда была Вторая мировая война?,out_of_domain
Кто такой Ньютон?,out_of_domain
Что такое квантовая физика?,out_of_domain
Где находится Эйфелева башня?,out_of_domain
Сколько стран в мире?,out_of_domain
Кто написал Гамлета?,out_of_domain
Что такое ДНК?,out_of_domain
Кто изобрёл телефон?,out_of_domain
Когда родился Ленин?,out_of_domain
Какой самый большой океан?,out_of_domain
Сколько километров до Луны?,out_of_domain
Кто такой Наполеон?,out_of_domain
Что такое фотосинтез?,out_of_domain
Чем отличается планета от звезды?,out_of_domain
Как работает самолёт?,out_of_domain
Что такое интернет?,out_of_domain
Как устроен мозг человека?,out_of_domain
Что такое генетика?,out_of_domain
Кто первый полетел в космос?,out_of_domain
Почему небо голубое?,out_of_domain
Где самая высокая гора?,out_of_domain
Что такое демократия?,out_of_domain
История России кратко,out_of_domain
Расскажи про эволюцию,out_of_domain
Рецепт борща,out_of_domain
Как приготовить пасту?,out_of_domain
Рецепт блинов,out_of_domain
Что приготовить на ужин?,out_of_domain
Как испечь торт?,out_of_domain
Рецепт пиццы в домашних условиях,out_of_domain
Как варить яйца?,out_of_domain
Полезные продукты для здоровья,out_of_domain
Как похудеть с помощью диеты?,out_of_domain
Что такое веганство?,out_of_domain
Рецепт оливье,out_of_domain
Как приготовить плов?,out_of_domain
Польза витаминов,out_of_domain
Рецепт шашлыка,out_of_domain
Как сделать суши дома?,out_of_domain
Лучшие рестораны Москвы,out_of_domain
Калорийность гречки,out_of_domain
Как готовить стейк?,out_of_domain
Что такое средиземноморская диета?,out_of_domain
Что съесть чтобы похудеть?,out_of_domain
Посоветуй хороший фильм,out_of_domain
Какой сериал посмотреть?,out_of_domain
Расскажи анекдот,out_of_domain
Какую музыку послушать?,out_of_domain
Топ лучших книг,out_of_domain
Новые игры этого года,out_of_domain
Что посмотреть в кино?,out_of_domain
Расскажи интересный факт,out_of_domain
Кто такой Моцарт?,out_of_domain
Лучшие комедии всех времён,out_of_domain
Что почитать на выходных?,out_of_domain
Хороший подкаст посоветуй,out_of_domain
Топ игр на телефон,out_of_domain
Что за фильм Начало?,out_of_domain
Кто такой Моргенштерн?,out_of_domain
Лучшие аниме,out_of_domain
Как лечить простуду?,out_of_domain
Симптомы гриппа,out_of_domain
Что принять от головной боли?,out_of_domain
Как укрепить иммунитет?,out_of_domain
Польза спорта для здоровья,out_of_domain
Норма давления для взрослого,out_of_domain
Что такое сахарный диабет?,out_of_domain
Как бросить курить?,out_of_domain
Сколько нужно спать?,out_of_domain
Польза воды для организма,out_of_domain
Как снизить стресс?,out_of_domain
Норма сахара в крови,out_of_domain
Как лечить спину?,out_of_domain
Что такое аллергия?,out_of_domain
Как сохранить зрение?,out_of_domain
Вред алкоголя для здоровья,out_of_domain
Как бороться с депрессией?,out_of_domain
Симптомы инфаркта,out_of_domain
Как похудеть?,out_of_domain
Симптомы COVID-19,out_of_domain
Курс доллара сегодня,out_of_domain
Как вложить деньги?,out_of_domain
Что такое биткоин?,out_of_domain
Как заработать в интернете?,out_of_domain
Лучший банк России,out_of_domain
Что такое акции?,out_of_domain
Как получить ипотеку?,out_of_domain
Что такое криптовалюта?,out_of_domain
Куда инвестировать?,out_of_domain
Налоги в России,out_of_domain
Гороскоп на сегодня,out_of_domain
Знак зодиака Овен,out_of_domain
Что означает сон про воду?,out_of_domain
Расскажи гороскоп на неделю,out_of_domain
Совместимость знаков зодиака,out_of_domain
Куда поехать в отпуск?,out_of_domain
Виза в Европу как получить?,out_of_domain
Лучшие курорты России,out_of_domain
Как выучить английский язык?,out_of_domain
Лучшие курсы программирования,out_of_domain
Что такое машинное обучение?,out_of_domain
Как стать разработчиком?,out_of_domain
Лучший язык программирования,out_of_domain
Что такое ChatGPT?,out_of_domain
Как работает интернет?,out_of_domain
Как поменять профессию?,out_of_domain
Как найти работу?,out_of_domain
Средняя зарплата в России,out_of_domain
Права потребителей в России,out_of_domain
Как зарегистрировать ИП?,out_of_domain
Сколько будет 2+2?,out_of_domain
Что такое теорема Пифагора?,out_of_domain
Переведи слово на английский,out_of_domain
Как написать резюме?,out_of_domain
Поздравление с днём рождения,out_of_domain
Стихи про любовь,out_of_domain
Напиши поздравление коллеге,out_of_domain
Как пережить расставание?,out_of_domain
Советы для отношений,out_of_domain
Что подарить другу?,out_of_domain
Поздравление с новым годом,out_of_domain
Как вырастить помидоры?,out_of_domain
Уход за кошкой,out_of_domain
Породы собак,out_of_domain
Чем кормить попугая?,out_of_domain
Как воспитать ребёнка?,out_of_domain
Какой автомобиль купить?,out_of_domain
Сравни Toyota и BMW,out_of_domain
Ремонт квартиры с чего начать?,out_of_domain
Как покрасить стены?,out_of_domain
Какой телефон лучше?,out_of_domain
iPhone или Samsung что лучше?,out_of_domain
Ноутбук для учёбы,out_of_domain
Как настроить WiFi?,out_of_domain
Как восстановить пароль?,out_of_domain
Что такое VPN?,out_of_domain
Расскажи про философию Канта,out_of_domain
Что такое экзистенциализм?,out_of_domain
Смысл жизни,out_of_domain
Что такое медитация?,out_of_domain
Про йогу расскажи,out_of_domain
Как стать счастливым?,out_of_domain
Как развить уверенность?,out_of_domain
Советы психолога,out_of_domain
Как бороться с прокрастинацией?,out_of_domain
Как сэкономить деньги?,out_of_domain
Покупки онлайн безопасно ли?,out_of_domain
Лучший сервис доставки,out_of_domain
Wildberries или Ozon?,out_of_domain
Сколько стоит билет в Москву?,out_of_domain
Расписание поездов Москва-Питер,out_of_domain
Как дешево улететь?,out_of_domain
Авиакомпании России список,out_of_domain
Туристическая виза в Турцию,out_of_domain
Что интересного в Санкт-Петербурге?,out_of_domain
Достопримечательности Казани,out_of_domain
Где лучший пляж в России?,out_of_domain
Горнолыжные курорты России,out_of_domain
Куда поехать на майские праздники?,out_of_domain
Модные тенденции этого года,out_of_domain
Уход за кожей лица,out_of_domain
Лучшие косметические бренды,out_of_domain
Как сделать макияж?,out_of_domain
Детские книги для 5 лет,out_of_domain
Как подготовиться к ЕГЭ?,out_of_domain
Лучшие университеты России,out_of_domain
Профессии будущего,out_of_domain
Как поступить в вуз?,out_of_domain
Что такое блокчейн?,out_of_domain
Нейросети в жизни,out_of_domain
Электромобили будущее?,out_of_domain
Что такое метавселенная?,out_of_domain
Основы фотографии,out_of_domain
Как научиться рисовать?,out_of_domain
Музыкальные инструменты для начинающих,out_of_domain
Как выучить гитару?,out_of_domain
Лучшие вина России,out_of_domain
Как выбрать виски?,out_of_domain
Какие требования по ГОСТ к редукторам?,domain_rag
Что говорит ГОСТ о давлении в трубопроводах?,domain_rag
ГОСТ на запорную арматуру,domain_rag
Требования ГОСТ к сварным соединениям,domain_rag
Какой ГОСТ регулирует монтаж газопровода?,domain_rag
ГОСТ на фланцевые соединения,domain_rag
Требования ГОСТ к испытанию трубопроводов,domain_rag
Какой ГОСТ применяется для насосов?,domain_rag
ГОСТ на стальные трубы,domain_rag
Требования ГОСТ к сосудам давления,domain_rag
ГОСТ по технике безопасности на производстве,domain_rag
Требования ГОСТа к КИПиА,domain_rag
Какие ГОСТы применяются при монтаже оборудования?,domain_rag
ГОСТ на теплообменники,domain_rag
Требования ГОСТ к компрессорам,domain_rag
ГОСТ по защитному заземлению,domain_rag
Требования ГОСТа к маркировке оборудования,domain_rag
ГОСТ на задвижки шиберные,domain_rag
Требования ГОСТ к изоляции трубопроводов,domain_rag
ГОСТ на клапаны предохранительные,domain_rag
Какой ГОСТ применяется для регуляторов давления?,domain_rag
ГОСТ по промышленной безопасности,domain_rag
Требования ГОСТа к проектированию ГРС,domain_rag
ГОСТ на измерительные приборы,domain_rag
Требования ГОСТ к сепараторам газа,domain_rag
ГОСТ нормы на качество газа,domain_rag
Требования ГОСТ к антикоррозионной защите,domain_rag
ГОСТ на болтовые соединения фланцев,domain_rag
Какие требования ГОСТ к давлению испытания?,domain_rag
ГОСТ на манометры,domain_rag
Требования ГОСТ к дренажным системам,domain_rag
ГОСТ по расчёту трубопроводов,domain_rag
Требования ГОСТа к кранам шаровым,domain_rag
ГОСТ нормы на вибрацию оборудования,domain_rag
Требования ГОСТ к системам вентиляции,domain_rag
ГОСТ на монтаж оборудования ГРС,domain_rag
Нормы ГОСТ для расходомеров,domain_rag
Требования ГОСТа к заземлению оборудования,domain_rag
ГОСТ на датчики давления,domain_rag
Требования ГОСТ к пружинным предохранительным клапанам,domain_rag
Какой ГОСТ регулирует ТО оборудования?,domain_rag
Нормы ГОСТ по сварке стальных трубопроводов,domain_rag
ГОСТ требования к паспортам оборудования,domain_rag
Требования ГОСТа к газовым фильтрам,domain_rag
ГОСТ на регуляторы давления газа,domain_rag
Что говорит ГОСТ о периодичности ТО?,domain_rag
Нормы ГОСТ для газорегуляторных пунктов,domain_rag
ГОСТ на узлы учёта газа,domain_rag
Требования ГОСТ к тепловой изоляции,domain_rag
ГОСТ на электроприводы задвижек,domain_rag
Нормы ГОСТа по контролю качества сварных швов,domain_rag
ГОСТ требования к азотной продувке,domain_rag
Какой ГОСТ применяется к газопроводам высокого давления?,domain_rag
ГОСТ нормы для импульсных линий,domain_rag
Требования ГОСТа к техническому освидетельствованию,domain_rag
ГОСТ на электромагнитные клапаны,domain_rag
Нормы ГОСТ по контролю герметичности,domain_rag
ГОСТ требования к монтажу автоматики,domain_rag
ГОСТ нормы на шум оборудования,domain_rag
Требования ГОСТ к огнезащитным покрытиям,domain_rag
Нормы СНиП для газопроводов,domain_rag
Требования СНиПа к строительству ГРС,domain_rag
СНиП на проектирование котельных,domain_rag
Нормы СНиПа для производственных зданий,domain_rag
Требования СНиП к противопожарным системам,domain_rag
СНиП на трубопроводы тепловых сетей,domain_rag
Нормы СНиП для вентиляции производственных помещений,domain_rag
Требования СНиПа к наружным сетям газоснабжения,domain_rag
СНиП по безопасности на строительстве,domain_rag
Нормы СНиП к электроустановкам,domain_rag
Требования СНиП к системам теплоснабжения,domain_rag
СНиП на проектирование нефтепроводов,domain_rag
Нормы СНиПа по охране труда,domain_rag
Требования СНиП к промышленным объектам,domain_rag
СНиП нормы для системы водоснабжения,domain_rag
Нормы СНиП для кровли производственных зданий,domain_rag
Требования СНиПа к строительству КС,domain_rag
СНиП на монтаж технологического оборудования,domain_rag
Нормы СНиП к фундаментам оборудования,domain_rag
Требования СНиП к внутренним газопроводам,domain_rag
СНиП нормы для газовых котельных,domain_rag
Нормы СНиПа к системам автоматики,domain_rag
Требования СНиП к промышленным полам,domain_rag
СНиП на сборку металлоконструкций,domain_rag
Нормы СНиП для технологических трубопроводов,domain_rag
Требования СНиПа к вводу газопровода,domain_rag
СНиП нормы на молниезащиту,domain_rag
Нормы СНиП к резервуарам,domain_rag
Требования СНиП к охранным зонам газопроводов,domain_rag
СНиП на системы контроля загазованности,domain_rag
Нормы СНиПа для редукционных установок,domain_rag
Требования СНиП к ограждениям производственных объектов,domain_rag
СНиП нормы для объектов газораспределения,domain_rag
Нормы СНиП по проектированию КИПиА,domain_rag
Требования СНиПа к расстояниям между объектами,domain_rag
СНиП нормы на устройство газопроводов в грунте,domain_rag
Нормы СНиП к паровым котлам,domain_rag
Требования СНиП к зданиям ГРС,domain_rag
СНиП на устройство компрессорных станций,domain_rag
Нормы СНиПа по ширине проходов в цехах,domain_rag
Технические характеристики регулятора давления РДГД-20,domain_rag
Рабочее давление редуктора РДГ-50,domain_rag
Температурный диапазон работы задвижки,domain_rag
Пропускная способность клапана ПКН,domain_rag
Технические характеристики сепаратора газа,domain_rag
Давление настройки предохранительного клапана,domain_rag
Характеристики расходомера газа,domain_rag
Рабочее давление шарового крана DN50,domain_rag
Технические параметры теплообменника,domain_rag
Производительность компрессора в кубометрах,domain_rag
Характеристики фильтра газа ФГ-50,domain_rag
Давление настройки ПЗК,domain_rag
Технические характеристики узла учёта газа,domain_rag
Пропускная способность регулятора давления газа,domain_rag
Характеристики электроприводной задвижки,domain_rag
Габаритные размеры ГРС,domain_rag
Масса редуктора РД-32,domain_rag
Диаметр условного прохода клапана,domain_rag
Рабочая температура фланцевого соединения,domain_rag
Характеристики импульсного газопровода,domain_rag
Технические параметры датчика давления Метран,domain_rag
Диапазон настройки регулятора давления,domain_rag
Характеристики газового фильтра ФГКТ-50,domain_rag
Давление испытания трубопровода,domain_rag
Технические характеристики блочной ГРС,domain_rag
Параметры работы горелки котла,domain_rag
Характеристики запорно-регулирующей арматуры,domain_rag
Диаметр труб для газопровода высокого давления,domain_rag
Технические данные насоса ЦНС-100,domain_rag
Параметры преобразователя давления,domain_rag
Характеристики продувочного газопровода,domain_rag
Рабочее давление в газопроводе ГРС,domain_rag
Допустимая температура эксплуатации арматуры,domain_rag
Технические параметры ЭХЗ трубопровода,domain_rag
Характеристики термометра сопротивления,domain_rag
Давление срабатывания предохранительного сбросного клапана,domain_rag
Параметры ручной задвижки DN100,domain_rag
Технические характеристики регулятора давления РДБК,domain_rag
Рабочий диапазон манометра,domain_rag
Параметры системы одоризации газа,domain_rag
Характеристики отключающего клапана КПЗ,domain_rag
Производительность газопровода Ду100,domain_rag
Технические данные счётчика газа СГ-16М,domain_rag
Допустимые потери давления в фильтре,domain_rag
Параметры дренажного клапана,domain_rag
Давление на входе в ГРС,domain_rag
Характеристики манометра класса точности 1.5,domain_rag
Рабочее давление газопровода среднего давления,domain_rag
Параметры электромагнитного клапана 24В,domain_rag
Технические характеристики редуктора РД-100,domain_rag
Пропускная способность газопровода Ду150,domain_rag
Давление настройки регулятора давления после себя,domain_rag
Параметры автоматики безопасности ГРС,domain_rag
Технические данные расходомера вихревого,domain_rag
Характеристики сетчатого фильтра,domain_rag
Давление газа на выходе ГРС,domain_rag
Параметры систем КИПиА на ГРС,domain_rag
Технические характеристики дифманометра,domain_rag
Характеристики конденсатосборника,domain_rag
Данные паспорта редуктора РДБК1-50/35,domain_rag
Параметры рабочего манометра МП160,domain_rag
Технические характеристики линейного крана,domain_rag
Характеристики блока автоматического управления,domain_rag
Давление настройки ПСК после ГРС,domain_rag
Параметры узла одоризации,domain_rag
Технические данные компенсатора трубопровода,domain_rag
Характеристики конечного выключателя задвижки,domain_rag
Паспорт на регулятор давления газа,domain_rag
Технический паспорт ГРС,domain_rag
Где в паспорте оборудования указан заводской номер?,domain_rag
Паспорт на шаровой кран DN50,domain_rag
Сертификат соответствия на трубы ГОСТ,domain_rag
Технический паспорт редуктора давления,domain_rag
Паспорт на предохранительный клапан,domain_rag
Документация на теплообменник,domain_rag
Паспорт сосуда давления,domain_rag
Заводской паспорт на компрессор,domain_rag
Техническая документация на задвижку,domain_rag
Паспорт на газовый счётчик,domain_rag
Сертификат на арматуру трубопроводную,domain_rag
Паспорт на фильтр газа,domain_rag
Что должен содержать паспорт оборудования?,domain_rag
Документация на узел учёта газа,domain_rag
Паспорт и инструкция по эксплуатации регулятора,domain_rag
Сертификат соответствия ТР ТС,domain_rag
Паспорт на блок ГРС заводской,domain_rag
Техническая документация на котёл,domain_rag
Паспорт на манометр МТП100,domain_rag
Заводской паспорт на насос,domain_rag
Документация на расходомер газа,domain_rag
Паспорт на кран шаровый с электроприводом,domain_rag
Технический паспорт теплоизоляции,domain_rag
Паспорт на датчик давления Метран-55,domain_rag
Что указывается в паспорте сосуда давления?,domain_rag
Документация на систему АСУТП ГРС,domain_rag
Паспорт на электромагнитный клапан,domain_rag
Техническая документация на блок одоризации,domain_rag
Паспорт клапана предохранительного СППК4-100,domain_rag
Заводские данные регулятора РДБК1П,domain_rag
Документация на узел редуцирования,domain_rag
Паспорт на фланцевую задвижку 30с15нж,domain_rag
Сертификат взрывозащиты оборудования,domain_rag
Документация на кран КШ-50 шаровый,domain_rag
Паспорт на термопреобразователь сопротивления,domain_rag
Заводской паспорт клапана ПКН-100,domain_rag
Паспорт на ротационный счётчик газа РГ-40,domain_rag
Опросный лист на регулятор давления газа,domain_rag
Как заполнить опросный лист на ГРС?,domain_rag
Опросный лист на задвижку трубопроводную,domain_rag
Что указывается в опросном листе на клапан?,domain_rag
Опросный лист на фильтр газа,domain_rag
Форма опросного листа на компрессор,domain_rag
Заполнить опросный лист на шаровой кран,domain_rag
Опросный лист для заказа регулятора РДБК,domain_rag
Что такое опросный лист на оборудование?,domain_rag
Опросный лист на счётчик газа,domain_rag
Как составить опросный лист на теплообменник?,domain_rag
Опросный лист на предохранительный клапан,domain_rag
Данные для опросного листа на насос,domain_rag
Опросный лист на редуктор давления,domain_rag
Что включает опросный лист на арматуру?,domain_rag
Опросный лист для заказа задвижки DN100,domain_rag
Форма опросного листа для блочной ГРС,domain_rag
Заполнить опросный лист для манометра,domain_rag
Опросный лист на котёл газовый,domain_rag
Как оформить опросный лист на сепаратор?,domain_rag
Опросный лист для заказа фильтра ФГ-100,domain_rag
Опросный лист на расходомер вихревой,domain_rag
Что означает каждое поле опросного листа?,domain_rag
Опросный лист на клапан электромагнитный,domain_rag
Данные для опросного листа на узел учёта,domain_rag
Опросный лист на кран DN150 шаровый,domain_rag
Опросный лист для заказа датчика давления,domain_rag
Заполнить опросный лист на газовый котёл,domain_rag
Опросный лист на одоризатор газа,domain_rag
Что проверить в опросном листе перед отправкой?,domain_rag
Регламент технического обслуживания ГРС,domain_rag
Как проводится ТО редуктора давления?,domain_rag
Порядок монтажа шарового крана,domain_rag
Периодичность технического обслуживания задвижки,domain_rag
Что входит в регламент ТО фильтра газа?,domain_rag
Инструкция по монтажу регулятора РДБК,domain_rag
Как провести ревизию клапана?,domain_rag
Регламент ТО предохранительного клапана,domain_rag
Порядок проведения технического освидетельствования,domain_rag
Как проверить герметичность арматуры?,domain_rag
Регламент ТО манометра на ГРС,domain_rag
Порядок монтажа расходомера газа,domain_rag
Инструкция по пуску ГРС,domain_rag
Регламент ТО сепаратора газа,domain_rag
Как провести техническое освидетельствование сосуда давления?,domain_rag
Порядок замены предохранительного клапана,domain_rag
Инструкция по эксплуатации редуктора давления,domain_rag
Что проверяется при ТО фильтра газа?,domain_rag
Порядок проведения ревизии задвижки,domain_rag
Как выполнить продувку газопровода?,domain_rag
Регламент ТО электромагнитного клапана,domain_rag
Порядок опрессовки трубопровода,domain_rag
Инструкция по обслуживанию системы одоризации,domain_rag
Как заменить сальниковую набивку задвижки?,domain_rag
Регламент ТО узла учёта газа,domain_rag
Порядок настройки регулятора давления,domain_rag
Как провести испытание арматуры на прочность?,domain_rag
Инструкция по обслуживанию ПЗК,domain_rag
Регламент ТО счётчика газа,domain_rag
Порядок подготовки к пуску котла,domain_rag
Как проверить работу автоматики безопасности?,domain_rag
Регламент технического обслуживания ГРПШ,domain_rag
Инструкция по монтажу датчика давления,domain_rag
Порядок ремонта шарового крана,domain_rag
Как провести ТО системы КИПиА?,domain_rag
Регламент ТО блочной ГРС,domain_rag
Периодичность поверки манометра,domain_rag
Порядок выполнения огневых работ на газопроводе,domain_rag
Как провести плановый осмотр ГРС?,domain_rag
Инструкция по устранению неисправностей регулятора,domain_rag
Регламент ТО дренажного клапана,domain_rag
Порядок консервации оборудования на зиму,domain_rag
Как проверить настройку ПСК?,domain_rag
